Material,Weight (kg),Transport Distance (km),Region,Virgin CO₂ (kg),Process CO₂ (kg),Transport CO₂ (kg),Net CO₂ Saved (kg)
Paper,5.28,5,EU,14.256,5.808,0.003,8.445
E-waste,5.88,100,India,70.56,11.76,0.071,58.729
Books,4.94,50,USA,12.35,5.928,0.03,6.392
Glass,0.3,10,EU,0.48,0.33,0.0,0.15
Paper,4.13,100,Germany,11.151,2.065,0.05,9.036
Plastic,3.89,50,Germany,23.34,1.945,0.023,21.372
Plastic,2.53,75,USA,15.18,3.036,0.023,12.121
Paper,0.92,100,India,2.484,1.84,0.011,0.633
Glass,6.11,5,Germany,9.776,3.055,0.004,6.717
E-waste,2.72,75,USA,32.64,3.264,0.024,29.352
Glass,7.62,10,India,12.192,15.24,0.009,0.0
Paper,1.64,5,USA,4.428,1.968,0.001,2.459
Books,1.25,5,USA,3.125,1.5,0.001,1.624
Clothes,3.15,25,Germany,25.2,1.575,0.009,23.616
E-waste,6.56,25,India,78.72,13.12,0.02,65.58
Glass,0.78,100,India,1.248,1.56,0.009,0.0
Paper,4.41,100,Germany,11.907,2.205,0.053,9.649
Glass,5.22,100,USA,8.352,6.264,0.063,2.025
Books,9.33,100,India,23.325,18.66,0.112,4.553
Books,5.06,50,EU,12.65,5.566,0.03,7.054
Clothes,4.29,100,USA,34.32,5.148,0.051,29.121
Plastic,9.48,25,Germany,56.88,4.74,0.028,52.112
Paper,1.1,100,Germany,2.97,0.55,0.013,2.407
Glass,0.95,25,Germany,1.52,0.475,0.003,1.042
Books,9.29,75,India,23.225,18.58,0.084,4.561
Clothes,1.5,50,Germany,12.0,0.75,0.009,11.241
Glass,5.02,25,USA,8.032,6.024,0.015,1.993
Books,9.58,75,India,23.95,19.16,0.086,4.704
Glass,4.77,10,Germany,7.632,2.385,0.006,5.241
Paper,6.1,75,USA,16.47,7.32,0.055,9.095
Glass,9.91,25,Germany,15.856,4.955,0.03,10.871
E-waste,3.46,25,USA,41.52,4.152,0.01,37.358
E-waste,1.22,100,India,14.64,2.44,0.015,12.185
E-waste,0.34,100,EU,4.08,0.374,0.004,3.702
Paper,5.12,50,India,13.824,10.24,0.031,3.553
Paper,5.25,25,India,14.175,10.5,0.016,3.659
Books,0.72,25,Germany,1.8,0.36,0.002,1.438
Paper,2.9,75,USA,7.83,3.48,0.026,4.324
Books,0.66,10,USA,1.65,0.792,0.001,0.857
Clothes,4.39,75,USA,35.12,5.268,0.04,29.812
Glass,5.4,50,India,8.64,10.8,0.032,0.0
Books,0.6,10,EU,1.5,0.66,0.001,0.839
E-waste,9.62,50,EU,115.44,10.582,0.058,104.8
Books,6.46,75,USA,16.15,7.752,0.058,8.34
Books,6.52,50,India,16.3,13.04,0.039,3.221
Plastic,6.49,10,USA,38.94,7.788,0.008,31.144
E-waste,7.44,75,EU,89.28,8.184,0.067,81.029
Plastic,3.34,25,Germany,20.04,1.67,0.01,18.36
Books,9.39,5,EU,23.475,10.329,0.006,13.14
Glass,7.27,50,India,11.632,14.54,0.044,0.0
Paper,9.43,25,India,25.461,18.86,0.028,6.573
Books,6.72,10,Germany,16.8,3.36,0.008,13.432
E-waste,2.01,10,EU,24.12,2.211,0.002,21.907
Clothes,4.56,50,India,36.48,9.12,0.027,27.333
Plastic,3.81,50,India,22.86,7.62,0.023,15.217
Paper,3.6,25,Germany,9.72,1.8,0.011,7.909
Plastic,0.43,50,India,2.58,0.86,0.003,1.717
E-waste,1.37,5,Germany,16.44,0.685,0.001,15.754
Books,0.86,100,EU,2.15,0.946,0.01,1.194
Books,1.32,10,EU,3.3,1.452,0.002,1.846
Glass,4.33,25,Germany,6.928,2.165,0.013,4.75
Plastic,8.09,10,India,48.54,16.18,0.01,32.35
Plastic,2.26,100,India,13.56,4.52,0.027,9.013
Clothes,6.82,75,EU,54.56,7.502,0.061,46.997
Glass,0.26,50,EU,0.416,0.286,0.002,0.128
Plastic,9.61,10,Germany,57.66,4.805,0.012,52.843
Paper,9.29,50,USA,25.083,11.148,0.056,13.879
E-waste,3.88,50,USA,46.56,4.656,0.023,41.881
Glass,3.24,5,Germany,5.184,1.62,0.002,3.562
Clothes,1.1,75,Germany,8.8,0.55,0.01,8.24
Clothes,1.29,50,India,10.32,2.58,0.008,7.732
Plastic,1.75,10,EU,10.5,1.925,0.002,8.573
Books,6.37,25,Germany,15.925,3.185,0.019,12.721
Glass,3.29,25,India,5.264,6.58,0.01,0.0
Glass,2.32,10,Germany,3.712,1.16,0.003,2.549
Plastic,5.04,100,Germany,30.24,2.52,0.06,27.66
Books,3.28,25,EU,8.2,3.608,0.01,4.582
Plastic,8.43,10,India,50.58,16.86,0.01,33.71
Paper,4.41,5,EU,11.907,4.851,0.003,7.053
Clothes,1.22,5,USA,9.76,1.464,0.001,8.295
Plastic,2.11,75,India,12.66,4.22,0.019,8.421
E-waste,9.28,5,Germany,111.36,4.64,0.006,106.714
E-waste,4.45,10,EU,53.4,4.895,0.005,48.5
E-waste,8.61,100,India,103.32,17.22,0.103,85.997
E-waste,8.41,5,EU,100.92,9.251,0.005,91.664
E-waste,5.72,75,USA,68.64,6.864,0.051,61.725
Clothes,2.19,5,India,17.52,4.38,0.001,13.139
Plastic,2.5,75,India,15.0,5.0,0.022,9.977
E-waste,5.67,100,Germany,68.04,2.835,0.068,65.137
Glass,1.05,5,USA,1.68,1.26,0.001,0.419
E-waste,2.06,5,EU,24.72,2.266,0.001,22.453
Paper,8.83,25,USA,23.841,10.596,0.026,13.219
Plastic,6.27,5,India,37.62,12.54,0.004,25.076
Plastic,6.91,100,EU,41.46,7.601,0.083,33.776
Glass,7.13,25,USA,11.408,8.556,0.021,2.831
Paper,5.58,75,India,15.066,11.16,0.05,3.856
Plastic,0.98,25,EU,5.88,1.078,0.003,4.799
Glass,8.63,50,EU,13.808,9.493,0.052,4.263
Glass,7.82,50,India,12.512,15.64,0.047,0.0
Books,3.24,10,Germany,8.1,1.62,0.004,6.476
E-waste,6.47,5,Germany,77.64,3.235,0.004,74.401
Clothes,1.26,100,USA,10.08,1.512,0.015,8.553
E-waste,2.82,25,India,33.84,5.64,0.008,28.192
Plastic,9.58,5,EU,57.48,10.538,0.006,46.936
Paper,7.78,75,USA,21.006,9.336,0.07,11.6
Books,3.21,5,USA,8.025,3.852,0.002,4.171
Clothes,8.75,25,India,70.0,17.5,0.026,52.474
Paper,6.05,25,India,16.335,12.1,0.018,4.217
Glass,5.12,5,Germany,8.192,2.56,0.003,5.629
Clothes,3.5,100,Germany,28.0,1.75,0.042,26.208
Books,9.16,100,India,22.9,18.32,0.11,4.47
Books,8.31,5,EU,20.775,9.141,0.005,11.629
E-waste,1.96,50,Germany,23.52,0.98,0.012,22.528
Glass,8.2,75,EU,13.12,9.02,0.074,4.026
Books,1.37,25,USA,3.425,1.644,0.004,1.777
Clothes,0.24,5,Germany,1.92,0.12,0.0,1.8
Plastic,1.03,50,USA,6.18,1.236,0.006,4.938
E-waste,7.84,25,EU,94.08,8.624,0.024,85.432
Paper,7.89,100,Germany,21.303,3.945,0.095,17.263
Books,6.01,50,Germany,15.025,3.005,0.036,11.984
Plastic,3.74,25,EU,22.44,4.114,0.011,18.315
Books,2.46,100,Germany,6.15,1.23,0.03,4.89
Glass,8.34,75,USA,13.344,10.008,0.075,3.261
Paper,9.44,5,USA,25.488,11.328,0.006,14.154
Glass,3.84,25,EU,6.144,4.224,0.012,1.908
Paper,8.52,75,Germany,23.004,4.26,0.077,18.667
E-waste,6.05,10,India,72.6,12.1,0.007,60.493
Plastic,9.87,50,USA,59.22,11.844,0.059,47.317
Books,1.58,50,India,3.95,3.16,0.009,0.781
Plastic,7.75,25,EU,46.5,8.525,0.023,37.952
Books,1.22,10,USA,3.05,1.464,0.001,1.585
Glass,6.87,5,EU,10.992,7.557,0.004,3.431
Books,6.18,5,USA,15.45,7.416,0.004,8.03
Clothes,0.83,100,India,6.64,1.66,0.01,4.97
Glass,2.97,25,Germany,4.752,1.485,0.009,3.258
Books,8.58,5,India,21.45,17.16,0.005,4.285
Glass,4.04,25,Germany,6.464,2.02,0.012,4.432
Paper,1.96,75,EU,5.292,2.156,0.018,3.118
Glass,2.04,5,USA,3.264,2.448,0.001,0.815
Books,1.74,100,Germany,4.35,0.87,0.021,3.459
E-waste,8.86,100,Germany,106.32,4.43,0.106,101.784
Plastic,7.35,75,USA,44.1,8.82,0.066,35.214
Plastic,6.38,10,USA,38.28,7.656,0.008,30.616
Glass,4.07,100,USA,6.512,4.884,0.049,1.579
Books,5.51,25,India,13.775,11.02,0.017,2.738
E-waste,3.26,100,USA,39.12,3.912,0.039,35.169
Paper,6.12,75,India,16.524,12.24,0.055,4.229
Glass,9.6,75,India,15.36,19.2,0.086,0.0
Books,5.96,5,Germany,14.9,2.98,0.004,11.916
Clothes,0.41,50,Germany,3.28,0.205,0.002,3.073
Plastic,1.07,5,Germany,6.42,0.535,0.001,5.884
E-waste,1.89,25,Germany,22.68,0.945,0.006,21.729
Clothes,0.54,100,EU,4.32,0.594,0.006,3.72
Paper,5.16,25,USA,13.932,6.192,0.015,7.725
Plastic,6.0,5,EU,36.0,6.6,0.004,29.396
Clothes,3.35,25,USA,26.8,4.02,0.01,22.77
Plastic,8.23,5,USA,49.38,9.876,0.005,39.499
Glass,8.85,10,Germany,14.16,4.425,0.011,9.724
Glass,4.18,50,India,6.688,8.36,0.025,0.0
E-waste,0.88,75,EU,10.56,0.968,0.008,9.584
E-waste,2.84,100,EU,34.08,3.124,0.034,30.922
Plastic,3.81,50,EU,22.86,4.191,0.023,18.646
Plastic,7.76,100,Germany,46.56,3.88,0.093,42.587
Glass,1.02,5,Germany,1.632,0.51,0.001,1.121
Glass,6.64,5,EU,10.624,7.304,0.004,3.316
Books,7.67,25,USA,19.175,9.204,0.023,9.948
Clothes,3.56,25,India,28.48,7.12,0.011,21.349
Paper,6.61,50,EU,17.847,7.271,0.04,10.536
E-waste,7.86,10,India,94.32,15.72,0.009,78.591
Plastic,8.8,75,EU,52.8,9.68,0.079,43.041
Glass,3.23,25,EU,5.168,3.553,0.01,1.605
E-waste,4.78,25,Germany,57.36,2.39,0.014,54.956
Clothes,6.37,10,EU,50.96,7.007,0.008,43.945
Clothes,6.82,50,EU,54.56,7.502,0.041,47.017
Books,8.92,100,EU,22.3,9.812,0.107,12.381
Plastic,6.62,5,Germany,39.72,3.31,0.004,36.406
Clothes,4.96,75,Germany,39.68,2.48,0.045,37.155
Glass,8.51,50,EU,13.616,9.361,0.051,4.204
Books,9.48,75,Germany,23.7,4.74,0.085,18.875
Clothes,3.55,50,USA,28.4,4.26,0.021,24.119
Paper,6.04,100,Germany,16.308,3.02,0.072,13.216
Clothes,5.17,75,Germany,41.36,2.585,0.047,38.728
Books,9.14,75,Germany,22.85,4.57,0.082,18.198
Paper,5.06,10,Germany,13.662,2.53,0.006,11.126
Plastic,4.52,100,EU,27.12,4.972,0.054,22.094
Clothes,6.81,100,USA,54.48,8.172,0.082,46.226
E-waste,8.73,5,India,104.76,17.46,0.005,87.295
Books,9.72,10,EU,24.3,10.692,0.012,13.596
Plastic,4.53,25,EU,27.18,4.983,0.014,22.183
Books,0.22,50,Germany,0.55,0.11,0.001,0.439
Books,9.87,50,India,24.675,19.74,0.059,4.876
E-waste,2.0,75,India,24.0,4.0,0.018,19.982
Clothes,7.33,25,Germany,58.64,3.665,0.022,54.953
Books,8.13,75,EU,20.325,8.943,0.073,11.309
E-waste,2.77,10,EU,33.24,3.047,0.003,30.19
Books,6.78,50,Germany,16.95,3.39,0.041,13.519
Glass,5.52,50,EU,8.832,6.072,0.033,2.727
E-waste,5.11,25,India,61.32,10.22,0.015,51.085
E-waste,7.69,75,USA,92.28,9.228,0.069,82.983
Paper,2.64,75,India,7.128,5.28,0.024,1.824
Plastic,2.68,10,EU,16.08,2.948,0.003,13.129
Paper,9.39,5,Germany,25.353,4.695,0.006,20.652
Glass,4.21,100,EU,6.736,4.631,0.051,2.054
Plastic,2.87,100,India,17.22,5.74,0.034,11.446
Glass,4.35,10,Germany,6.96,2.175,0.005,4.78
Plastic,9.4,25,India,56.4,18.8,0.028,37.572
Clothes,0.75,50,Germany,6.0,0.375,0.004,5.62
E-waste,1.06,100,USA,12.72,1.272,0.013,11.435
E-waste,9.18,100,Germany,110.16,4.59,0.11,105.46
Glass,8.0,75,Germany,12.8,4.0,0.072,8.728
E-waste,5.25,75,Germany,63.0,2.625,0.047,60.328
Books,7.06,50,Germany,17.65,3.53,0.042,14.078
E-waste,4.44,25,EU,53.28,4.884,0.013,48.383
Paper,3.77,100,Germany,10.179,1.885,0.045,8.249
Books,5.17,75,Germany,12.925,2.585,0.047,10.293
E-waste,2.67,25,Germany,32.04,1.335,0.008,30.697
E-waste,5.82,5,India,69.84,11.64,0.003,58.197
Paper,1.9,50,EU,5.13,2.09,0.011,3.029
Paper,4.61,100,Germany,12.447,2.305,0.055,10.087
Glass,7.45,25,EU,11.92,8.195,0.022,3.703
Books,8.05,5,India,20.125,16.1,0.005,4.02
Paper,5.15,5,India,13.905,10.3,0.003,3.602
Clothes,2.79,100,Germany,22.32,1.395,0.033,20.892
E-waste,6.5,5,EU,78.0,7.15,0.004,70.846
Paper,9.8,10,EU,26.46,10.78,0.012,15.668
Paper,3.46,100,EU,9.342,3.806,0.042,5.494
Plastic,4.1,10,Germany,24.6,2.05,0.005,22.545
Books,0.43,25,EU,1.075,0.473,0.001,0.601
Books,3.41,25,USA,8.525,4.092,0.01,4.423
Paper,4.72,50,Germany,12.744,2.36,0.028,10.356
Paper,4.57,25,USA,12.339,5.484,0.014,6.841
Plastic,1.66,10,EU,9.96,1.826,0.002,8.132
E-waste,1.96,10,India,23.52,3.92,0.002,19.598
Glass,6.28,5,EU,10.048,6.908,0.004,3.136
Books,3.19,75,Germany,7.975,1.595,0.029,6.351
Glass,5.86,25,USA,9.376,7.032,0.018,2.326
Clothes,6.97,75,Germany,55.76,3.485,0.063,52.212
Paper,2.68,100,USA,7.236,3.216,0.032,3.988
Books,1.71,25,India,4.275,3.42,0.005,0.85
Plastic,6.94,75,India,41.64,13.88,0.062,27.698
Clothes,4.72,25,EU,37.76,5.192,0.014,32.554
Books,8.62,5,EU,21.55,9.482,0.005,12.063
Glass,5.89,100,Germany,9.424,2.945,0.071,6.408
E-waste,9.91,25,USA,118.92,11.892,0.03,106.998
Paper,3.76,5,USA,10.152,4.512,0.002,5.638
Plastic,3.6,50,India,21.6,7.2,0.022,14.378
Glass,5.14,75,EU,8.224,5.654,0.046,2.524
Plastic,6.36,25,EU,38.16,6.996,0.019,31.145
Books,3.51,5,India,8.775,7.02,0.002,1.753
Clothes,6.03,100,Germany,48.24,3.015,0.072,45.153
Clothes,7.26,10,Germany,58.08,3.63,0.009,54.441
Glass,4.5,10,EU,7.2,4.95,0.005,2.245
E-waste,8.27,50,EU,99.24,9.097,0.05,90.093
Books,8.7,100,EU,21.75,9.57,0.104,12.076
Glass,7.01,25,USA,11.216,8.412,0.021,2.783
Paper,2.2,25,USA,5.94,2.64,0.007,3.293
Glass,5.1,50,Germany,8.16,2.55,0.031,5.579
Paper,7.38,75,EU,19.926,8.118,0.066,11.742
Clothes,2.06,75,USA,16.48,2.472,0.019,13.989
Glass,2.8,25,EU,4.48,3.08,0.008,1.392
E-waste,7.78,75,EU,93.36,8.558,0.07,84.732
Plastic,2.4,5,USA,14.4,2.88,0.001,11.519
Glass,3.97,100,Germany,6.352,1.985,0.048,4.319
Glass,8.53,100,Germany,13.648,4.265,0.102,9.281
E-waste,3.27,50,EU,39.24,3.597,0.02,35.623
Paper,3.29,5,India,8.883,6.58,0.002,2.301
Clothes,1.57,5,Germany,12.56,0.785,0.001,11.774
Books,0.67,75,EU,1.675,0.737,0.006,0.932
Clothes,1.76,100,EU,14.08,1.936,0.021,12.123
Glass,7.68,75,India,12.288,15.36,0.069,0.0
E-waste,9.18,50,Germany,110.16,4.59,0.055,105.515
Paper,5.95,5,India,16.065,11.9,0.004,4.161
Plastic,5.42,25,Germany,32.52,2.71,0.016,29.794
Plastic,7.05,50,Germany,42.3,3.525,0.042,38.733
Clothes,1.96,75,India,15.68,3.92,0.018,11.742
E-waste,9.95,25,Germany,119.4,4.975,0.03,114.395
Plastic,8.72,75,India,52.32,17.44,0.078,34.802
Books,7.35,50,India,18.375,14.7,0.044,3.631
Plastic,5.47,10,EU,32.82,6.017,0.007,26.796
Paper,4.96,25,India,13.392,9.92,0.015,3.457
Glass,1.44,10,USA,2.304,1.728,0.002,0.574
Plastic,9.2,5,USA,55.2,11.04,0.006,44.154
Clothes,7.63,75,EU,61.04,8.393,0.069,52.578
Clothes,9.49,75,India,75.92,18.98,0.085,56.855
E-waste,7.73,25,India,92.76,15.46,0.023,77.277
Plastic,4.5,100,USA,27.0,5.4,0.054,21.546
E-waste,4.29,25,Germany,51.48,2.145,0.013,49.322
Plastic,6.31,10,Germany,37.86,3.155,0.008,34.697
Clothes,0.9,25,India,7.2,1.8,0.003,5.397
Clothes,2.31,10,Germany,18.48,1.155,0.003,17.322
E-waste,3.27,50,Germany,39.24,1.635,0.02,37.585
Glass,9.66,25,India,15.456,19.32,0.029,0.0
Glass,8.02,10,EU,12.832,8.822,0.01,4.0
Paper,6.62,50,USA,17.874,7.944,0.04,9.89
Books,1.16,75,Germany,2.9,0.58,0.01,2.31
Plastic,0.67,25,Germany,4.02,0.335,0.002,3.683
Clothes,1.46,50,Germany,11.68,0.73,0.009,10.941
Paper,0.36,5,Germany,0.972,0.18,0.0,0.792
E-waste,5.04,5,EU,60.48,5.544,0.003,54.933
Paper,8.25,5,EU,22.275,9.075,0.005,13.195
Glass,2.24,5,USA,3.584,2.688,0.001,0.895
Books,7.46,10,Germany,18.65,3.73,0.009,14.911
Clothes,4.45,75,USA,35.6,5.34,0.04,30.22
Clothes,1.28,10,EU,10.24,1.408,0.002,8.83
Clothes,3.42,10,EU,27.36,3.762,0.004,23.594
Clothes,9.71,100,India,77.68,19.42,0.117,58.143
E-waste,8.23,100,Germany,98.76,4.115,0.099,94.546
Plastic,7.46,75,EU,44.76,8.206,0.067,36.487
Plastic,2.07,5,USA,12.42,2.484,0.001,9.935
Glass,0.56,75,USA,0.896,0.672,0.005,0.219
Paper,2.8,100,EU,7.56,3.08,0.034,4.446
E-waste,5.19,5,India,62.28,10.38,0.003,51.897
Books,5.04,100,EU,12.6,5.544,0.06,6.996
Plastic,2.87,5,India,17.22,5.74,0.002,11.478
Paper,2.74,5,USA,7.398,3.288,0.002,4.108
Glass,6.22,100,Germany,9.952,3.11,0.075,6.767
Plastic,7.42,100,EU,44.52,8.162,0.089,36.269
Paper,3.0,5,USA,8.1,3.6,0.002,4.498
Plastic,2.24,5,EU,13.44,2.464,0.001,10.975
Plastic,7.47,25,EU,44.82,8.217,0.022,36.581
Glass,4.19,10,Germany,6.704,2.095,0.005,4.604
Books,8.33,5,EU,20.825,9.163,0.005,11.657
Paper,0.47,50,EU,1.269,0.517,0.003,0.749
Books,8.17,100,EU,20.425,8.987,0.098,11.34
Books,8.76,50,EU,21.9,9.636,0.053,12.211
Books,6.61,75,EU,16.525,7.271,0.059,9.195
Plastic,8.65,100,Germany,51.9,4.325,0.104,47.471
Paper,1.19,100,India,3.213,2.38,0.014,0.819
Plastic,3.84,75,Germany,23.04,1.92,0.035,21.085
Glass,8.09,50,India,12.944,16.18,0.049,0.0
Glass,2.81,50,EU,4.496,3.091,0.017,1.388
Paper,7.81,50,USA,21.087,9.372,0.047,11.668
Glass,8.48,100,USA,13.568,10.176,0.102,3.29
Clothes,5.42,75,India,43.36,10.84,0.049,32.471
E-waste,6.3,10,Germany,75.6,3.15,0.008,72.442
Books,3.86,5,India,9.65,7.72,0.002,1.928
Books,9.46,100,USA,23.65,11.352,0.114,12.184
E-waste,9.27,75,EU,111.24,10.197,0.083,100.96
E-waste,6.18,75,India,74.16,12.36,0.056,61.744
Plastic,4.65,5,USA,27.9,5.58,0.003,22.317
Paper,6.18,5,EU,16.686,6.798,0.004,9.884
E-waste,4.96,75,Germany,59.52,2.48,0.045,56.995
E-waste,3.43,5,India,41.16,6.86,0.002,34.298
Paper,5.05,75,Germany,13.635,2.525,0.045,11.065
Books,3.12,50,India,7.8,6.24,0.019,1.541
Books,0.75,100,India,1.875,1.5,0.009,0.366
Paper,1.37,10,Germany,3.699,0.685,0.002,3.012
Plastic,8.63,25,EU,51.78,9.493,0.026,42.261
Glass,4.63,50,EU,7.408,5.093,0.028,2.287
Books,3.93,50,EU,9.825,4.323,0.024,5.478
E-waste,6.92,75,EU,83.04,7.612,0.062,75.366
Paper,1.71,25,Germany,4.617,0.855,0.005,3.757
Glass,7.59,25,Germany,12.144,3.795,0.023,8.326
Glass,9.33,100,EU,14.928,10.263,0.112,4.553
E-waste,9.79,10,Germany,117.48,4.895,0.012,112.573
Books,4.3,75,India,10.75,8.6,0.039,2.111
E-waste,2.74,100,EU,32.88,3.014,0.033,29.833
Plastic,2.23,25,India,13.38,4.46,0.007,8.913
E-waste,4.36,5,EU,52.32,4.796,0.003,47.521
Glass,2.79,100,EU,4.464,3.069,0.033,1.362
E-waste,6.18,5,EU,74.16,6.798,0.004,67.358
Glass,4.07,5,EU,6.512,4.477,0.002,2.033
Plastic,5.72,50,EU,34.32,6.292,0.034,27.994
Clothes,8.66,50,India,69.28,17.32,0.052,51.908
E-waste,5.18,5,India,62.16,10.36,0.003,51.797
Books,9.78,75,India,24.45,19.56,0.088,4.802
Paper,3.24,5,Germany,8.748,1.62,0.002,7.126
Clothes,7.82,25,India,62.56,15.64,0.023,46.897
Books,3.22,25,EU,8.05,3.542,0.01,4.498
Clothes,9.02,75,India,72.16,18.04,0.081,54.039
Plastic,7.98,75,EU,47.88,8.778,0.072,39.03
Clothes,1.7,10,EU,13.6,1.87,0.002,11.728
Clothes,6.36,5,EU,50.88,6.996,0.004,43.88
Glass,4.44,50,EU,7.104,4.884,0.027,2.193
Plastic,9.04,100,USA,54.24,10.848,0.108,43.284
Books,4.87,5,Germany,12.175,2.435,0.003,9.737
E-waste,9.46,5,USA,113.52,11.352,0.006,102.162
E-waste,4.72,5,Germany,56.64,2.36,0.003,54.277
Plastic,8.83,50,Germany,52.98,4.415,0.053,48.512
Clothes,7.13,50,EU,57.04,7.843,0.043,49.154
E-waste,3.26,5,USA,39.12,3.912,0.002,35.206
Glass,3.64,10,India,5.824,7.28,0.004,0.0
Books,5.43,75,Germany,13.575,2.715,0.049,10.811
Books,2.25,5,India,5.625,4.5,0.001,1.124
Clothes,5.62,10,USA,44.96,6.744,0.007,38.209
Clothes,9.19,100,USA,73.52,11.028,0.11,62.382
E-waste,1.49,50,USA,17.88,1.788,0.009,16.083
Plastic,7.89,5,EU,47.34,8.679,0.005,38.656
Paper,0.54,5,India,1.458,1.08,0.0,0.378
Books,1.94,10,EU,4.85,2.134,0.002,2.714
E-waste,2.1,10,EU,25.2,2.31,0.003,22.887
E-waste,8.44,100,India,101.28,16.88,0.101,84.299
Plastic,7.52,10,Germany,45.12,3.76,0.009,41.351
E-waste,0.86,5,EU,10.32,0.946,0.001,9.373
Paper,4.04,25,India,10.908,8.08,0.012,2.816
Paper,9.54,10,EU,25.758,10.494,0.011,15.253
Glass,4.2,25,India,6.72,8.4,0.013,0.0
Books,7.22,50,India,18.05,14.44,0.043,3.567
Clothes,7.26,25,EU,58.08,7.986,0.022,50.072
Books,7.36,25,India,18.4,14.72,0.022,3.658
Clothes,5.01,5,Germany,40.08,2.505,0.003,37.572
Glass,7.76,100,India,12.416,15.52,0.093,0.0
Plastic,6.98,50,EU,41.88,7.678,0.042,34.16
Paper,5.68,100,USA,15.336,6.816,0.068,8.452
Glass,9.94,100,Germany,15.904,4.97,0.119,10.815
Clothes,2.97,100,India,23.76,5.94,0.036,17.784
Clothes,7.34,5,Germany,58.72,3.67,0.004,55.046
Plastic,8.76,100,EU,52.56,9.636,0.105,42.819
Plastic,6.19,75,EU,37.14,6.809,0.056,30.275
Glass,2.6,10,Germany,4.16,1.3,0.003,2.857
E-waste,0.72,10,India,8.64,1.44,0.001,7.199
Clothes,0.78,25,Germany,6.24,0.39,0.002,5.848
Books,0.82,10,India,2.05,1.64,0.001,0.409
Glass,1.84,25,Germany,2.944,0.92,0.006,2.018
Books,8.99,25,EU,22.475,9.889,0.027,12.559
Books,0.86,100,Germany,2.15,0.43,0.01,1.71
Clothes,6.78,50,India,54.24,13.56,0.041,40.639
Paper,6.29,100,USA,16.983,7.548,0.075,9.36
Plastic,3.55,100,India,21.3,7.1,0.043,14.157
E-waste,8.5,25,Germany,102.0,4.25,0.026,97.725
Clothes,9.56,75,Germany,76.48,4.78,0.086,71.614
Plastic,2.49,75,USA,14.94,2.988,0.022,11.93
Clothes,6.72,5,EU,53.76,7.392,0.004,46.364
Books,5.05,25,Germany,12.625,2.525,0.015,10.085
Glass,5.42,10,India,8.672,10.84,0.007,0.0
Clothes,5.33,10,USA,42.64,6.396,0.006,36.238
Clothes,2.28,25,EU,18.24,2.508,0.007,15.725
Glass,9.49,75,Germany,15.184,4.745,0.085,10.354
Glass,8.48,25,Germany,13.568,4.24,0.025,9.303
E-waste,1.46,5,EU,17.52,1.606,0.001,15.913
Books,3.57,75,EU,8.925,3.927,0.032,4.966
Books,3.2,5,USA,8.0,3.84,0.002,4.158
Glass,1.25,75,EU,2.0,1.375,0.011,0.614
Glass,5.15,25,India,8.24,10.3,0.015,0.0
Paper,0.33,10,India,0.891,0.66,0.0,0.231
Glass,6.9,50,USA,11.04,8.28,0.041,2.719
E-waste,7.18,100,Germany,86.16,3.59,0.086,82.484
Plastic,6.33,75,EU,37.98,6.963,0.057,30.96
Paper,2.99,10,USA,8.073,3.588,0.004,4.481
E-waste,9.81,10,Germany,117.72,4.905,0.012,112.803
E-waste,9.42,25,Germany,113.04,4.71,0.028,108.302
Glass,8.27,75,EU,13.232,9.097,0.074,4.061
Plastic,6.42,25,Germany,38.52,3.21,0.019,35.291
Plastic,8.27,100,India,49.62,16.54,0.099,32.981
Books,2.52,75,Germany,6.3,1.26,0.023,5.017
Glass,4.82,10,EU,7.712,5.302,0.006,2.404
Clothes,6.54,75,India,52.32,13.08,0.059,39.181
Clothes,6.18,50,Germany,49.44,3.09,0.037,46.313
E-waste,3.12,5,USA,37.44,3.744,0.002,33.694
Plastic,9.76,100,USA,58.56,11.712,0.117,46.731
Books,9.98,75,EU,24.95,10.978,0.09,13.882
Paper,4.22,75,EU,11.394,4.642,0.038,6.714
Books,2.35,50,USA,5.875,2.82,0.014,3.041
Glass,6.63,50,Germany,10.608,3.315,0.04,7.253
Paper,8.78,5,India,23.706,17.56,0.005,6.141
Glass,8.35,75,India,13.36,16.7,0.075,0.0
E-waste,2.64,5,EU,31.68,2.904,0.002,28.774
Glass,7.2,10,India,11.52,14.4,0.009,0.0
Clothes,8.23,50,India,65.84,16.46,0.049,49.331
Glass,9.95,50,India,15.92,19.9,0.06,0.0
Glass,7.58,5,India,12.128,15.16,0.005,0.0
Glass,7.58,10,India,12.128,15.16,0.009,0.0
Books,1.55,50,USA,3.875,1.86,0.009,2.006
Plastic,2.85,25,USA,17.1,3.42,0.009,13.671
Paper,0.8,10,India,2.16,1.6,0.001,0.559
Paper,1.43,75,EU,3.861,1.573,0.013,2.275
Books,3.21,25,India,8.025,6.42,0.01,1.595
Books,7.96,5,EU,19.9,8.756,0.005,11.139
Paper,5.93,25,USA,16.011,7.116,0.018,8.877
E-waste,5.74,75,India,68.88,11.48,0.052,57.348
Glass,9.88,75,USA,15.808,11.856,0.089,3.863
Books,6.8,100,Germany,17.0,3.4,0.082,13.518
Paper,5.98,10,USA,16.146,7.176,0.007,8.963
Books,2.84,75,Germany,7.1,1.42,0.026,5.654
